City_code,City,Province_code,Province
1680,Aa en Hunze,22,Drenthe
0358,Aalsmeer,27,Noord-Holland
0197,Aalten,25,Gelderland
0059,Achtkarspelen,21,Friesland
0482,Alblasserdam,28,Zuid-Holland
0613,Albrandswaard,28,Zuid-Holland
0361,Alkmaar,27,Noord-Holland
0141,Almelo,23,Overijssel
0034,Almere,24,Flevoland
0484,Alphen aan den Rijn,28,Zuid-Holland
1723,Alphen-Chaam,30,Noord-Brabant
1959,Altena,30,Noord-Brabant
0060,Ameland,21,Friesland
0307,Amersfoort,26,Utrecht
0362,Amstelveen,27,Noord-Holland
0363,Amsterdam,27,Noord-Holland
0200,Apeldoorn,25,Gelderland
0003,Appingedam,20,Groningen
0202,Arnhem,25,Gelderland
0106,Assen,22,Drenthe
0743,Asten,30,Noord-Brabant
0744,Baarle-Nassau,30,Noord-Brabant
0308,Baarn,26,Utrecht
0489,Barendrecht,28,Zuid-Holland
0203,Barneveld,25,Gelderland
0888,Beek,31,Limburg
1954,Beekdaelen,31,Limburg
0370,Beemster,27,Noord-Holland
0889,Beesel,31,Limburg
1945,Berg en Dal,25,Gelderland
1724,Bergeijk,30,Noord-Brabant
0893,Bergen (L.),31,Limburg
0373,Bergen (NH.),27,Noord-Holland
0748,Bergen op Zoom,30,Noord-Brabant
1859,Berkelland,25,Gelderland
1721,Bernheze,30,Noord-Brabant
0753,Best,30,Noord-Brabant
0209,Beuningen,25,Gelderland
0375,Beverwijk,27,Noord-Holland
0310,De Bilt,26,Utrecht
1728,Bladel,30,Noord-Brabant
0376,Blaricum,27,Noord-Holland
0377,Bloemendaal,27,Noord-Holland
1901,Bodegraven-Reeuwijk,28,Zuid-Holland
0755,Boekel,30,Noord-Brabant
1681,Borger-Odoorn,22,Drenthe
0147,Borne,23,Overijssel
0654,Borsele,29,Zeeland
0756,Boxmeer,30,Noord-Brabant
0757,Boxtel,30,Noord-Brabant
0758,Breda,30,Noord-Brabant
0501,Brielle,28,Zuid-Holland
1876,Bronckhorst,25,Gelderland
0213,Brummen,25,Gelderland
0899,Brunssum,31,Limburg
0312,Bunnik,26,Utrecht
0313,Bunschoten,26,Utrecht
0214,Buren,25,Gelderland
0502,Capelle aan den IJssel,28,Zuid-Holland
0383,Castricum,27,Noord-Holland
0109,Coevorden,22,Drenthe
1706,Cranendonck,30,Noord-Brabant
1684,Cuijk,30,Noord-Brabant
0216,Culemborg,25,Gelderland
0148,Dalfsen,23,Overijssel
